ポイント名,外気温,GHP-1     ｶﾞｽ量,GHP-1     1F 室内温度,GHP-1     ｶﾞｽ消費率,GHP-1     1F 運転状態
単位,℃,m3,℃,%,分
2017/4/18 3:00,18,0,20.5,0,0
2017/4/18 4:00,17.4,0,20.5,0,0
2017/4/18 5:00,17,0,20.5,0,0
2017/4/18 6:00,17.2,0,20.5,0,0
2017/4/18 7:00,16.8,0,20.5,0,0
2017/4/18 8:00,17.4,0,21,0,0
2017/4/18 9:00,18,0,21,0,0
2017/4/18 10:00,18.8,0,21.5,0,0
2017/4/18 11:00,19.7,0,21.5,0,0
2017/4/18 12:00,20.1,0,21.5,0,0
2017/4/18 13:00,20.8,0,22,0,0
2017/4/18 14:00,20.2,0,22,0,0
2017/4/18 15:00,20.2,0,23.5,0,0
2017/4/18 16:00,19.4,0,22.5,0,0
2017/4/18 17:00,19.1,0,21.5,0,0
2017/4/18 18:00,18.8,0,21.5,0,0
2017/4/18 19:00,18.3,0,21.5,0,0
2017/4/18 20:00,18.1,0,21.5,0,0
2017/4/18 21:00,17.4,0,22,0,0
2017/4/18 22:00,17.4,0,22,0,0
2017/4/18 23:00,16.9,0,22,0,0
2017/4/19 0:00,16.7,0,22,0,0
2017/4/19 1:00,16.5,0,22,0,0
2017/4/19 2:00,15.9,0,21.5,0,0
2017/4/19 3:00,16.1,0,21.5,0,0
2017/4/19 4:00,17.3,0,21.5,0,0
2017/4/19 5:00,17.5,0,21.5,0,0
2017/4/19 6:00,17.7,0,21.5,0,0
2017/4/19 7:00,18.4,0,21.5,0,0
2017/4/19 8:00,18.7,0,21.5,0,0
2017/4/19 9:00,19,0,21.5,0,0
2017/4/19 10:00,19.6,0,21.5,0,0
2017/4/19 11:00,19.2,0,22,0,0
2017/4/19 12:00,19,0,22,0,8
2017/4/19 13:00,20.5,0,25,0,60
2017/4/19 14:00,19.4,0,26,0,60
2017/4/19 15:00,19.3,0,26,0,60
2017/4/19 16:00,18,0,26,0,7
2017/4/19 17:00,17.5,0,25.5,0,0
2017/4/19 18:00,16.4,0,25,0,0
2017/4/19 19:00,15.3,0,24,0,0
2017/4/19 20:00,14.6,0,23.5,0,0
2017/4/19 21:00,13.7,0,23,0,0
2017/4/19 22:00,13.8,0,23,0,0
2017/4/19 23:00,13.3,0,22.5,0,0
2017/4/20 0:00,12.6,0,22.5,0,0
2017/4/20 1:00,11.8,0,22,0,0
2017/4/20 2:00,12.1,0,22,0,0
2017/4/20 3:00,11.8,0,21.5,0,0
2017/4/20 4:00,11.3,0,21.5,0,0
2017/4/20 5:00,11.1,0,21.5,0,0
2017/4/20 6:00,12.4,0,21.5,0,0
2017/4/20 7:00,14,0,21.5,0,0
2017/4/20 8:00,14.8,0,21.5,0,0
2017/4/20 9:00,15.9,0,21.5,0,0
2017/4/20 10:00,16.4,0,21.5,0,0
2017/4/20 11:00,17,0,21.5,0,0
2017/4/20 12:00,17.5,0,22,0,0
2017/4/20 13:00,18.8,0,22,0,0
2017/4/20 14:00,18.3,0,22,0,0
2017/4/20 15:00,18.2,0,22,0,0
2017/4/20 16:00,18.3,0,22,0,0
2017/4/20 17:00,18.3,0,22,0,0
2017/4/20 18:00,17.2,0,22,0,0
2017/4/20 19:00,17.3,0,22,0,0
2017/4/20 20:00,17.1,0,22,0,0
2017/4/20 21:00,16.8,0,22,0,0
2017/4/20 22:00,16,0,22,0,0
2017/4/20 23:00,16.4,0,21.5,0,0
2017/4/21 0:00,15.6,0,21.5,0,0
2017/4/21 1:00,15.7,0,21.5,0,0
2017/4/21 2:00,15.1,0,21.5,0,0
2017/4/21 3:00,14.8,0,21.5,0,0
2017/4/21 4:00,14.5,0,21,0,0
2017/4/21 5:00,14.4,0,21,0,0
2017/4/21 6:00,14.8,0,21,0,0
2017/4/21 7:00,14.4,0,21,0,0
2017/4/21 8:00,15,0,21,0,0
2017/4/21 9:00,15.8,0,21,0,0
2017/4/21 10:00,16.6,0,21,0,0
2017/4/21 11:00,17.2,0,21.5,0,0
2017/4/21 12:00,18.4,0,21.5,0,0
2017/4/21 13:00,19.1,0,21.5,0,0
2017/4/21 14:00,19.4,0,21.5,0,0
2017/4/21 15:00,19,0,21.5,0,0
2017/4/21 16:00,18.7,0,21.5,0,0
2017/4/21 17:00,18.6,0,21.5,0,0
2017/4/21 18:00,17.9,0,21,0,0
2017/4/21 19:00,17.8,0,21,0,0
2017/4/21 20:00,16.8,0,21,0,0
2017/4/21 21:00,16.6,0,21,0,0
2017/4/21 22:00,15.7,0,21,0,0
2017/4/21 23:00,15.2,0,21,0,0
2017/4/22 0:00,14.6,0,21,0,0
2017/4/22 1:00,14.1,0,21,0,0
2017/4/22 2:00,13.8,0,21,0,0
2017/4/22 3:00,13.6,0,21,0,0
2017/4/22 4:00,13.5,0,21,0,0
2017/4/22 5:00,13.7,0,21,0,0
2017/4/22 6:00,13.9,0,21,0,0
2017/4/22 7:00,15.2,0,21,0,0
2017/4/22 8:00,16.2,0,21,0,0
2017/4/22 9:00,17.2,0,21.5,0,0
2017/4/22 10:00,17.3,0,21.5,0,0
2017/4/22 11:00,19.5,0,21,0,0
2017/4/22 12:00,20.3,0,21,0,0
2017/4/22 13:00,20,0,21.5,0,0
2017/4/22 14:00,19.5,0,21.5,0,0
2017/4/22 15:00,18.2,0,21.5,0,0
2017/4/22 16:00,17.2,0,22,0,0
2017/4/22 17:00,16.1,0,21.5,0,0
2017/4/22 18:00,14.7,0,21.5,0,0
2017/4/22 19:00,13.3,0,21.5,0,0
2017/4/22 20:00,12.1,0,21.5,0,0
2017/4/22 21:00,11.2,0,21,0,0
2017/4/22 22:00,11.2,0,21,0,0
2017/4/22 23:00,10.9,0,21,0,0
2017/4/23 0:00,10.4,0,21,0,0
2017/4/23 1:00,10.4,0,21,0,0
2017/4/23 2:00,10.7,0,20.5,0,0
2017/4/23 3:00,10.6,0,20.5,0,0
2017/4/23 4:00,9.3,0,20.5,0,0
2017/4/23 5:00,9.8,0,20.5,0,0
2017/4/23 6:00,11.2,0,20.5,0,0
2017/4/23 7:00,12.8,0,20.5,0,0
2017/4/23 8:00,14.4,0,21,0,0
2017/4/23 9:00,14.9,0,21.5,0,0
2017/4/23 10:00,16.6,0,21.5,0,0
2017/4/23 11:00,19,0,21.5,0,0
2017/4/23 12:00,18.9,0,22.5,0,0
2017/4/23 13:00,20.1,0,23,0,0
2017/4/23 14:00,20.4,0,23,0,0
2017/4/23 15:00,19.5,0,23,0,0
2017/4/23 16:00,19.7,0,22.5,0,0
2017/4/23 17:00,18.6,0,22,0,0
2017/4/23 18:00,17.2,0,21.5,0,0
2017/4/23 19:00,15.2,0,21,0,0
2017/4/23 20:00,13.8,0,20,0,0
2017/4/23 21:00,13.2,0,20,0,0
2017/4/23 22:00,12.5,0,20,0,0
2017/4/23 23:00,11.8,0,20,0,0
2017/4/24 0:00,11.6,0,20.5,0,0
2017/4/24 1:00,10.9,0,20.5,0,0
2017/4/24 2:00,11.1,0,20.5,0,0
2017/4/24 3:00,10.7,0,20.5,0,0
2017/4/24 4:00,10.4,0,20.5,0,0
2017/4/24 5:00,11.1,0,20.5,0,0
2017/4/24 6:00,12.4,0,20.5,0,0
2017/4/24 7:00,15,0,20.5,0,0
2017/4/24 8:00,16.9,0,21,0,0
2017/4/24 9:00,19.7,0,21.5,0,0
2017/4/24 10:00,20.9,0,21.5,0,0
2017/4/24 11:00,22.1,0,22,0,0
2017/4/24 12:00,22.7,0,23,0,0
2017/4/24 13:00,22.9,0,24,0,0
2017/4/24 14:00,21.3,0,24,0,0
2017/4/24 15:00,20.7,0,23.5,0,0
2017/4/24 16:00,19.8,0,23.5,0,0
2017/4/24 17:00,19.2,0,23,0,0
2017/4/24 18:00,18.4,0,22.5,0,0
